Month,Active Clients - Actual,Active Clients - Planned,Cumulative Net Profit Actual (₹),Cumulative Net Profit Planned (₹),Intern Commission Actual (₹),Intern Commission Planned (₹),Interns Active - Actual,Interns Active - Planned,Month End,Month Start,Net Profit Actual (₹),Net Profit Planned (₹),New Clients - Actual,New Clients - Planned,Notes,Outsourcing Cost Actual (₹),Outsourcing Cost Planned (₹),Revenue Actual (₹),Revenue Planned (₹),Status
M2: August 2026,,15,,580800,,99000,,10,"August 31, 2026","August 1, 2026",,396000,,10,"Bundling launched, 1st case study",,330000,,825000,⚪ Not Started
M5: November 2026,,53,,3775200,,349800,,15,"November 30, 2026","November 1, 2026",,1399200,,20,Original plan deadline — ~75% of ₹50L target reached on Realistic Track,,1166000,,2915000,⚪ Not Started
M0: Setup Sprint (Jun 21–30),,1,,26400,,6600,,5,"June 30, 2026","June 21, 2026",,26400,,1,"Solo start — partial month, recruiting batch 1 of interns",,22000,,55000,⚪ Not Started
M3: September 2026,,27,,1293600,,178200,,12,"September 30, 2026","September 1, 2026",,712800,,15,Mid-point review vs ₹50L target,,594000,,1485000,⚪ Not Started
M4: October 2026,,41,,2376000,,270600,,15,"October 31, 2026","October 1, 2026",,1082400,,18,Outsourcing rate renegotiation,,902000,,2255000,⚪ Not Started
M1: July 2026,,6,,184800,,39600,,8,"July 31, 2026","July 1, 2026",,158400,,5,"Team ramping, first testimonial target",,132000,,330000,⚪ Not Started
M6: December 2026,,60,,5359200,,396000,,17,"December 31, 2026","December 1, 2026",,1584000,,20,⭐ Crosses ₹50L around Dec 20–26 (see Weekly Tracker W27). Final reconciliation Dec 31.,,1320000,,3300000,⚪ Not Started
M6 — December 2026 (🏁 Target Month),,60,,5359200,,396000,,15,"December 31, 2026","December 1, 2026",,1584000,,20,🏁 Cross ₹50L cumulative ~Dec 20-26. Final P&L reconciliation. 2027 plan drafted. Full-time team onboarded Dec 1. Update Actual on Dec 31.,,1320000,,3300000,⚪ Not Started
M4 — October 2026,,41,,2376000,,270600,,15,"October 31, 2026","October 1, 2026",,1082400,,18,Compound growth. 2nd outsourcing rate cut. Probation assessments. Full-time offers drafted. Update Actual on Oct 31.,,902000,,2255000,⚪ Not Started
M5 — November 2026,,53,,3775200,,349800,,15,"November 30, 2026","November 1, 2026",,1399200,,20,Hold the line. Max referral push. Commission sheets finalized. Full-time contracts ready for Dec 1. Update Actual on Nov 30.,,1166000,,2915000,⚪ Not Started
M3 — September 2026,,27,,1293600,,178200,,12,"September 30, 2026","September 1, 2026",,712800,,15,Scale the funnel. 3 case studies live. Push referral hard. Replace bottom 20% interns. Update Actual on Sep 30.,,594000,,1485000,⚪ Not Started
"M0 — June 21–30, 2026 (Setup Sprint)",,1,,26400,,6600,,0,"June 30, 2026","June 21, 2026",,26400,,1,"Solo sprint. Goal: infrastructure complete, 5 interns recruited, 1 client closed. All Actual columns to be filled June 30.",,22000,,55000,⚪ Not Started
M2 — August 2026,,15,,580800,,99000,,10,"August 31, 2026","August 1, 2026",,396000,,10,"Build repeatable conversion. 10 interns, 1 case study, upsell bundles. Outsourcing rate renegotiated. Update Actual on Aug 31.",,330000,,825000,⚪ Not Started
M1 — July 2026,,6,,184800,,39600,,8,"July 31, 2026","July 1, 2026",,158400,,5,"Prove the model works. Target: 5 new clients, 8 interns, first testimonial, A/B script test winner deployed. Update Actual on July 31.",,132000,,330000,⚪ Not Started
