Module Name,Build Status,Category,Duration (hrs),Faculty Owner,LMS URL,Module Code,No. of Sub-Modules,Notes,Prerequisites,Standalone Price (₹),Target Certification,Tier,Wave
Email Marketing — Advanced Depth,🔴 Not Built,Core Digital Marketing,[FILL IN],Email + Analytics Faculty,,P1.5,[FILL IN],"Automation flows, segmentation, deliverability, A/B testing, lifecycle marketing",Email Marketing Foundations (existing),,HubSpot Inbound,"Expert, Professional",Wave 1 (Jul–Sep 2026)
SEO Mastery — Technical & Advanced Depth,🔴 Not Built,Core Digital Marketing,[FILL IN],SEO Faculty,,P1.1,5,"Covers Technical SEO checklist, Core Web Vitals, Schema Markup, Site Architecture, Log File Analysis",SEO Foundations (existing),,"GA4, Google Ads Search","Expert, Professional",Wave 1 (Jul–Sep 2026)
E-Commerce Marketing — Advanced Depth,🔴 Not Built,Core Digital Marketing,[FILL IN],Ecom Faculty,,P1.7,[FILL IN],"Shopping campaigns, product feed optimisation, Shopify analytics, D2C funnels",P1.3 (PPC),,Google Ads Search,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Influencer Marketing — Advanced Depth,🔴 Not Built,Core Digital Marketing,[FILL IN],Ecom Faculty,,P1.8,[FILL IN],"Influencer discovery, campaign briefing, micro vs macro strategy, ROI tracking, contracts",SMM Foundations (existing),,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Affiliate Marketing,🔴 Not Built,Core Digital Marketing,[FILL IN],Automation Faculty,,P1.10,[FILL IN],"Affiliate networks, commission models, tracking, Amazon Associates, ShareASale",Content Marketing Foundations (existing),,None,"Expert, Professional",Wave 1 (Jul–Sep 2026)
PPC / Google Ads — Advanced Depth,🔴 Not Built,Core Digital Marketing,[FILL IN],PPC Faculty,,P1.3,5,"Quality Score, bidding strategies, Performance Max, Shopping campaigns, conversion tracking",PPC Foundations (existing),,Google Ads Search,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Analytics & GA4 — Advanced Depth,🔴 Not Built,Core Digital Marketing,[FILL IN],Analytics Faculty,,P1.6,[FILL IN],"GA4 setup, Events & conversions, Exploration reports, Attribution modelling, Data Studio dashboards",Analytics Foundations (existing),,GA4,"Expert, Foundation, Professional",Wave 1 (Jul–Sep 2026)
Content Marketing — Advanced Depth,🔴 Not Built,Core Digital Marketing,[FILL IN],Content Faculty,,P1.4,7,"Long-form content, content strategy, editorial calendars, repurposing, thought leadership, content distribution, ROI measurement",Content Marketing Foundations (existing),,HubSpot Inbound,"Expert, Professional",Wave 1 (Jul–Sep 2026)
CRM & Marketing Automation,🔴 Not Built,AI & Automation,[FILL IN],Automation Faculty,,P1.9,[FILL IN],"HubSpot CRM, Mailchimp automation, lead scoring, pipeline management, Zapier workflows",Email Marketing Foundations (existing),,HubSpot Inbound,"Expert, Professional",Wave 1 (Jul–Sep 2026)
Social Media Marketing — Advanced Depth,🔴 Not Built,Core Digital Marketing,[FILL IN],SMM Faculty,,P1.2,5,"Covers Meta Ads Manager, IG strategy, LinkedIn Ads, content calendars, analytics",SMM Foundations (existing),,"LinkedIn Marketing Labs, Meta Blueprint","Expert, Professional",Wave 1 (Jul–Sep 2026)
Website Development Track (P16),🔴 Not Built,Web Development,[FILL IN],Web/Design Faculty Lead,,P16.1–16.5,13,"Web Fundamentals, WordPress Mastery, No-Code Builders, Landing Pages, Freelance Web Design + capstone site build",None,,None,"Add-on, Expert, Professional",Wave 8 (Jan–Mar 2027)
Personal Branding Specialisation (P6.2),🔴 Not Built,Specialisation Track,[FILL IN],Branding Faculty,,P6.2,7,"LinkedIn personal brand, thought leadership content, media kit, speaking, PR basics","P1.2, P1.4",,None,"Expert, Professional",Wave 3 (Jan–Mar 2027)
