Week,Cumulative Actual (₹),Cumulative Planned (₹),Interns Active - Actual,Interns Active - Planned,Net Profit Actual (₹),Net Profit Planned (₹),New Clients - Actual,New Clients - Planned,Notes,Outreach Actions - Actual,Outreach Actions - Planned,Phase,Status,Week End,Week Start
W8: Aug 9–15,,382800,,9,,99000,,2,Case study #1 drafted,,3150,Phase 2 - Scaling,⚪ Not Started,"August 15, 2026","August 9, 2026"
W15: Sep 27–Oct 3,,1293600,,12,,142560,,3,Mid-point business review: target Cumulative ≥ ₹12.9L,,4200,Phase 3 - Peak Build,⚪ Not Started,"October 3, 2026","September 27, 2026"
W12: Sep 6–12,,865920,,11,,142560,,3,,,3850,Phase 3 - Peak Build,⚪ Not Started,"September 12, 2026","September 6, 2026"
W23: Nov 22–28,,3775200,,15,,349800,,5,"Target: 68 cumulative clients, Cumulative ≥ ₹37.8L",,5250,Phase 5 - Final Stretch,⚪ Not Started,"November 28, 2026","November 22, 2026"
W2: Jun 28–Jul 4,,58080,,5,,31680,,1,"Batch 1 onboarded, ramping (~40% productivity)",,800,Phase 1 - Team Ramp,⚪ Not Started,"July 4, 2026","June 28, 2026"
W19: Oct 25–31,,2376000,,15,,270600,,5,"Target: 48 cumulative clients, Cumulative ≥ ₹23.8L",,5250,Phase 4 - Growth,⚪ Not Started,"October 31, 2026","October 25, 2026"
W27: Dec 20–26,,5042400,,17,,316800,,4,⭐ PLANNED ₹50L CROSSING WEEK,,5950,Phase 6 - Close-Out,⚪ Not Started,"December 26, 2026","December 20, 2026"
W14: Sep 20–26,,1151040,,12,,142560,,3,,,4200,Phase 3 - Peak Build,⚪ Not Started,"September 26, 2026","September 20, 2026"
W3: Jul 5–11,,89760,,6,,31680,,1,Recruiting batch 2,,1570,Phase 1 - Team Ramp,⚪ Not Started,"July 11, 2026","July 5, 2026"
W11: Aug 30–Sep 5,,723360,,10,,142560,,3,Recruiting batch 4 begins,,3500,Phase 3 - Peak Build,⚪ Not Started,"September 5, 2026","August 30, 2026"
W28: Dec 27–31,,5359200,,18,,316800,,4,Final reconciliation & 2027 planning,,6300,Phase 6 - Close-Out,⚪ Not Started,"December 31, 2026","December 27, 2026"
W6: Jul 26–Aug 1,,184800,,8,,31680,,1,Month 1 review at week close,,2900,Phase 1 - Team Ramp,⚪ Not Started,"August 1, 2026","July 26, 2026"
W4: Jul 12–18,,121440,,7,,31680,,1,Referral program launches,,2182,Phase 1 - Team Ramp,⚪ Not Started,"July 18, 2026","July 12, 2026"
W16: Oct 4–10,,1564200,,12,,270600,,4,Recruiting batch 5 begins,,4200,Phase 4 - Growth,⚪ Not Started,"October 10, 2026","October 4, 2026"
W10: Aug 23–29,,580800,,10,,99000,,2,Target: 15 cumulative clients by month end,,3500,Phase 2 - Scaling,⚪ Not Started,"August 29, 2026","August 23, 2026"
W18: Oct 18–24,,2105400,,14,,270600,,4,Renegotiate outsourcing rate,,4900,Phase 4 - Growth,⚪ Not Started,"October 24, 2026","October 18, 2026"
W17: Oct 11–17,,1834800,,13,,270600,,5,,,4550,Phase 4 - Growth,⚪ Not Started,"October 17, 2026","October 11, 2026"
W26: Dec 13–19,,4725600,,17,,316800,,4,,,5950,Phase 6 - Close-Out,⚪ Not Started,"December 19, 2026","December 13, 2026"
W13: Sep 13–19,,1008480,,11,,142560,,3,Case studies #2 and #3 in progress,,3850,Phase 3 - Peak Build,⚪ Not Started,"September 19, 2026","September 13, 2026"
W25: Dec 6–12,,4408800,,16,,316800,,4,,,5600,Phase 6 - Close-Out,⚪ Not Started,"December 12, 2026","December 6, 2026"
W1: Jun 21–27,,26400,,3,,26400,,1,"Setup sprint — founder solo, recruiting batch 1",,150,Phase 0 - Setup,⚪ Not Started,"June 27, 2026","June 21, 2026"
W21: Nov 8–14,,3075600,,15,,349800,,5,,,5250,Phase 5 - Final Stretch,⚪ Not Started,"November 14, 2026","November 8, 2026"
W22: Nov 15–21,,3425400,,15,,349800,,5,,,5250,Phase 5 - Final Stretch,⚪ Not Started,"November 21, 2026","November 15, 2026"
W9: Aug 16–22,,481800,,9,,99000,,3,Outsourcing partner SLA review,,3150,Phase 2 - Scaling,⚪ Not Started,"August 22, 2026","August 16, 2026"
W24: Nov 29–Dec 5,,4092000,,15,,316800,,4,Final stretch begins,,5250,Phase 6 - Close-Out,⚪ Not Started,"December 5, 2026","November 29, 2026"
W5: Jul 19–25,,153120,,7,,31680,,1,Target: 5 cumulative clients by end of week,,2550,Phase 1 - Team Ramp,⚪ Not Started,"July 25, 2026","July 19, 2026"
W7: Aug 2–8,,283800,,8,,99000,,3,"Recruiting batch 3, start bundling",,2800,Phase 2 - Scaling,⚪ Not Started,"August 8, 2026","August 2, 2026"
W20: Nov 1–7,,2725800,,15,,349800,,5,"Hold 15 interns, push referrals",,5250,Phase 5 - Final Stretch,⚪ Not Started,"November 7, 2026","November 1, 2026"
W14 — Sep 20–26,,1108800,,12,,105600,,4,Keep pace. Referral leads converting. Sept monthly tracker prep.,,4200,Phase 3 - Peak Build,⚪ Not Started,"September 26, 2026","September 20, 2026"
W8 — Aug 9–15,,580800,,10,,79200,,3,Case study published. Identify top 2 interns for team lead roles. Upsell bundle pitch to all single-service clients.,,3500,Phase 2 - Scaling,⚪ Not Started,"August 15, 2026","August 9, 2026"
W3 — Jul 5–11 (Ramp Build),,79200,,5,,52800,,2,Interns hitting full pace. A/B test scripts started. Batch 2 recruitment post goes live.,,1750,Phase 1 - Team Ramp,⚪ Not Started,"July 11, 2026","July 5, 2026"
W16 — Oct 4–10,,1346400,,15,,132000,,5,15 interns at full pace. Rate renegotiation complete. Identify probation-passing interns.,,5250,Phase 4 - Growth,⚪ Not Started,"October 10, 2026","October 4, 2026"
W19 — Oct 25–31,,1689600,,15,,105600,,4,Oct close-out. Monthly P&L filed. Cumulative ~₹24L. On track for Dec target.,,5250,Phase 4 - Growth,⚪ Not Started,"October 31, 2026","October 25, 2026"
W20 — Nov 1–7 (Final Stretch),,1821600,,15,,132000,,5,Max referral push this month. Commission calculations started.,,5250,Phase 5 - Final Stretch,⚪ Not Started,"November 7, 2026","November 1, 2026"
W10 — Aug 23–29,,712800,,10,,52800,,2,Aug close-out. Monthly P&L updated. New outsourcing rate locked. Recruit batch 4.,,3500,Phase 2 - Scaling,⚪ Not Started,"August 29, 2026","August 23, 2026"
W9 — Aug 16–22,,660000,,10,,79200,,3,Team leads delegated. Outsourcing rate renegotiation active. Fire bottom 10% intern.,,3500,Phase 2 - Scaling,⚪ Not Started,"August 22, 2026","August 16, 2026"
W2 — Jun 28 – Jul 4 (First Interns),,26400,,5,,26400,,1,5 interns live on Day 1. Target: 350 actions each = 1750 + 100 solo = 1850. First client closed.,,1850,Phase 1 - Team Ramp,⚪ Not Started,"July 4, 2026","June 28, 2026"
W12 — Sep 6–12,,897600,,12,,105600,,4,Publish 2nd case study. All active clients asked for referrals.,,4200,Phase 3 - Peak Build,⚪ Not Started,"September 12, 2026","September 6, 2026"
W22 — Nov 15–21,,2085600,,15,,132000,,5,Push all channels. Cumulative ~₹21L. Still 29L to target.,,5250,Phase 5 - Final Stretch,⚪ Not Started,"November 21, 2026","November 15, 2026"
W23 — Nov 22–28,,2217600,,15,,132000,,5,Nov close-out prep. Commission sheets finalized. Monthly P&L filed.,,5250,Phase 5 - Final Stretch,⚪ Not Started,"November 28, 2026","November 22, 2026"
W28 — Dec 27–31 (Wrap-Up),,5100000,,15,,0,,0,Final reconciliation. 2027 plan page complete. Team celebration. Archive this tracker.,,0,Phase 6 - Close-Out,⚪ Not Started,"December 31, 2026","December 27, 2026"
W18 — Oct 18–24,,1584000,,15,,105600,,4,Full-time conversion offers drafted. Maintain 15 interns.,,5250,Phase 4 - Growth,⚪ Not Started,"October 24, 2026","October 18, 2026"
W6 — Jul 26 – Aug 1,,448800,,8,,158400,,0,July close-out week. Monthly financial tracker updated. Review conversion rates. Recruit batch 3.,,2800,Phase 1 - Team Ramp,⚪ Not Started,"August 1, 2026","July 26, 2026"
W11 — Aug 30 – Sep 5 (Scale to 12),,792000,,12,,79200,,3,12 interns active. Push referral channel hard. Fire bottom 20% from Aug cohort.,,4200,Phase 3 - Peak Build,⚪ Not Started,"September 5, 2026","August 30, 2026"
W27 — Dec 20–26 (Victory Lap),,5100000,,15,,79200,,3,Target confirmed. Draft 2027 plan. Commission payments processed.,,5250,Phase 6 - Close-Out,⚪ Not Started,"December 26, 2026","December 20, 2026"
W15 — Sep 27 – Oct 3,,1214400,,15,,105600,,4,Scale to 15 interns. Oct renegotiation on outsourcing. Monthly P&L filed for Sept.,,5250,Phase 4 - Growth,⚪ Not Started,"October 3, 2026","September 27, 2026"
W24 — Nov 29 – Dec 5 (Close-Out Begins),,2349600,,15,,132000,,5,Full-time employees start Dec 1. Onboarding runs parallel to outreach.,,5250,Phase 6 - Close-Out,⚪ Not Started,"December 5, 2026","November 29, 2026"
W17 — Oct 11–17,,1478400,,15,,132000,,5,Cumulative nearing ₹15L. Start 2027 service expansion shortlist.,,5250,Phase 4 - Growth,⚪ Not Started,"October 17, 2026","October 11, 2026"
W21 — Nov 8–14,,1953600,,15,,132000,,5,Testimonial & video case study collection drive. Full-time offer letters sent.,,5250,Phase 5 - Final Stretch,⚪ Not Started,"November 14, 2026","November 8, 2026"
W5 — Jul 19–25,,290400,,8,,158400,,1,8 interns at full pace. Collect first testimonial. Start upsell pitches to existing clients.,,2800,Phase 1 - Team Ramp,⚪ Not Started,"July 25, 2026","July 19, 2026"
W7 — Aug 2–8 (Scale to 10),,501600,,10,,52800,,2,10 interns active. Publish first case study. Start outsourcing rate renegotiation.,,3500,Phase 2 - Scaling,⚪ Not Started,"August 8, 2026","August 2, 2026"
W25 — Dec 6–12,,2481600,,15,,132000,,5,Cumulative ~₹25L. ₹50L target in Dec 20-26 range if pace holds.,,5250,Phase 6 - Close-Out,⚪ Not Started,"December 12, 2026","December 6, 2026"
W26 — Dec 13–19 (🏁 Target Week),,5000000,,15,,2350000,,5,🏁 EXPECTED ₹50L CROSSING WEEK. Final P&L reconciliation. Profit declaration.,,5250,Phase 6 - Close-Out,⚪ Not Started,"December 19, 2026","December 13, 2026"
W1 — Jun 21–27 (Setup Sprint),,0,,0,,0,,0,"Solo founder week. No interns. Goal: MOU signed, all platform profiles live, recruitment post up, scripts written, 100 solo outreach actions.",,100,Phase 0 - Setup,⚪ Not Started,"June 27, 2026","June 21, 2026"
W13 — Sep 13–19,,1003200,,12,,105600,,4,Cumulative crosses ₹10L. Publish 3rd case study. Monthly leaderboard for interns.,,4200,Phase 3 - Peak Build,⚪ Not Started,"September 19, 2026","September 13, 2026"
W4 — Jul 12–18 (Batch 2 Onboard),,132000,,8,,52800,,2,Batch 2 onboarded (3 more). 8 interns total. Script A/B test winner deployed. Referral program launched.,,2800,Phase 1 - Team Ramp,⚪ Not Started,"July 18, 2026","July 12, 2026"
