Task Name,Blocks,Completed Date,Module,Notes,Owner,Phase,Priority,Status,Sub-Phase,Target Date,Task ID,Wave,Week
"QW-03 — Write first 3 SEO depth sub-modules (Technical SEO checklist, Core Web Vitals, Schema Markup)",Wave 1 SEO recording sprint,,SEO Depth: 3 script docs + slide decks,,SEO Faculty,P1,⬆️ High,🔴 Not Started,P1.1.1–3,"June 20, 2026",3,Phase 0 (Jun–Jul 2026),W1
QW-04 — Build GA4 Certification Study Map (alignment table + study path + 2 practice exam links),"QW-06 (remaining cert maps), Certification Tracker (P18.5)","June 15, 2026",GA4 Study Map page in Notion,,Academic Head,P18,🔥 Critical,🟢 Done,P18.1.1–2,"June 17, 2026",4,Phase 0 (Jun–Jul 2026),W1
QW-05 — Create Sub-Topic Checkpoint template + Module Practical Exam template,All Phase 1–2 content building (every faculty team needs this template),"June 15, 2026",2 reusable Notion templates,,Academic Head,P21,🔥 Critical,🟢 Done,P21.1.1 + P21.2.1,"June 16, 2026",5,Phase 0 (Jun–Jul 2026),W1
"QW-02 — Update student brochure to 2026 curriculum, tools & positioning",QW-15 (public Course Catalog),,Brochure v2 PDF,,Design Team,P20,⬆️ High,🔴 Not Started,P20.2,"June 20, 2026",2,Phase 0 (Jun–Jul 2026),W1
"QW-01 — Draft Module Catalog (tiers, durations, prerequisites, target cert)","QW-08 (Pricing), QW-11 (Tiers), QW-15 (Course Catalog page)",,Module Catalog v1,,Abhishek + Ops,P20,🔥 Critical,🔴 Not Started,P20.1,"June 17, 2026",1,Phase 0 (Jun–Jul 2026),W1
"QW-06 — Map Google Ads, HubSpot, Meta & LinkedIn certification paths",Certification Tracker (P18.5),"June 15, 2026",4-row certification map in Notion,,Academic Head,P18,🔥 Critical,🟢 Done,P18.2–18.4,"June 17, 2026",6,Phase 0 (Jun–Jul 2026),W1
"QW-07 — Write AI Foundations Literacy Layer (AI basics, prompt engineering, AI tools in DM, ethics)",Wave 1 AI module recording (P19.1 prerequisite),,4 AI Foundations script docs,,AI Faculty Lead,P19,⬆️ High,🔴 Not Started,P19.1.1–4,"June 23, 2026",7,Phase 0 (Jun–Jul 2026),W2
"QW-08 — Define à la carte module pricing (standalone prices, bundle discounts, entry-level cert offers)","Brochure v2 (QW-02), Course Catalog page (QW-15)",,Pricing table (internal doc),,Abhishek,P20,🔥 Critical,🔴 Not Started,P20.3,"June 16, 2026",8,Phase 0 (Jun–Jul 2026),W1
QW-10 — Write Faculty Recording & Slide Standards SOP,All faculty recording from Wave 1 day 1,"June 15, 2026",Faculty Recording & Slide Standards SOP,,Abhishek,P11,🔥 Critical,🟢 Done,P11.2,"June 16, 2026",10,Phase 0 (Jun–Jul 2026),W1
"QW-09 — Build Notion Task Tracker database (Phase, Task ID, Module, Owner, Status, Priority, Target Date)","Friday update cadence, all execution tracking","June 15, 2026",Queryable Task Tracker DB (Wave 1 seeded),,Ops,P0,🔥 Critical,🟢 Done,P0,"June 15, 2026",9,Phase 0 (Jun–Jul 2026),W1
"QW-11 — Define 3 programme tiers in a comparison table (modules, pricing, outcomes)","QW-02 (Brochure), QW-15 (Catalog page)",,Programme Comparison Table v2,"Draft complete (Jun 15). Module matrix built for all 3 tiers. Needs Abhishek to fill pricing, duration, 1:1 count, access period before going live.",Abhishek + Ops,P5,🔥 Critical,🟡 In Progress,P5.1,"June 16, 2026",11,Phase 0 (Jun–Jul 2026),W1
"QW-14 — Identify SEO Mastery Pilot Cohort (5–10 students, confirm dates, assign faculty lead)",SEO Mastery Pilot Protocol can begin,,Pilot cohort confirmed + calendar invite,,Abhishek,P0,⬆️ High,🔴 Not Started,P0 (New),"June 20, 2026",14,Phase 0 (Jun–Jul 2026),W2
QW-13 — Complete Faculty & Hiring Gap Audit (all specialist roles vs who currently fills them),Hiring decisions before Wave 1 starts,,Faculty & Hiring Gap Report,,Abhishek,P0,🔥 Critical,🔴 Not Started,P0 (New),"June 20, 2026",13,Phase 0 (Jun–Jul 2026),W2
"QW-12 — Write Change Management Notice for current students (what changes, when, who to contact)","Student trust, enrolment continuation",,1-page notice + FAQ for current students,"Draft complete (Jun 15). Notice + 8-item FAQ written. Needs Abhishek to fill support email, WhatsApp, send date, old programme name references, then distribute.",Abhishek,P0,⬆️ High,🟡 In Progress,P0 (New),"June 16, 2026",12,Phase 0 (Jun–Jul 2026),W1
QW-15 — Publish public Course Catalog landing page (current modules + pricing),New student enrolment revenue,,Live public Course Catalog URL,,Design + Web,P20,⬆️ High,🔴 Not Started,P20.5,"July 4, 2026",15,Phase 0 (Jun–Jul 2026),W3–W4
