Task,Deadline,KPI / Target,Owner,Phase,Priority,Start Date,Status
Month 1 (July) financial review,"July 31, 2026","Monthly Tracker filled, cumulative ≥ ₹1.8L",You (Founder),Phase 1 - Team Ramp,P0 - Critical,"July 31, 2026",🔴 Pending
Build case study #4,"October 25, 2026",4th case study published,You (Founder),Phase 4 - Growth,P1 - High,"October 20, 2026",🔴 Pending
Collect 50% advance from first client,"July 5, 2026",Advance payment received,You (Founder),Phase 1 - Team Ramp,P0 - Critical,"July 4, 2026",🔴 Pending
Build 7-touch outreach sequence tracker,"June 24, 2026",Sequence documented in tracker,You (Founder),Phase 0 - Setup,P1 - High,"June 23, 2026",🔴 Pending
Screen & shortlist intern applicants,"June 26, 2026","15+ applicants screened, 5-8 shortlisted",You (Founder),Phase 0 - Setup,P0 - Critical,"June 23, 2026",🔴 Pending
Reach 30 closed clients (cumulative),"October 3, 2026",30 total clients signed,You + Team,Phase 3 - Peak Build,P0 - Critical,"September 28, 2026",🔴 Pending
Start bundling services (2-3 service packages),"August 5, 2026",2 bundle offers defined & live,You (Founder),Phase 2 - Scaling,P1 - High,"August 2, 2026",🔴 Pending
Final financial reconciliation & report,"December 31, 2026",Full period P&L report completed,You (Founder),Phase 6 - Close-Out,P0 - Critical,"December 31, 2026",🔴 Pending
Submit first 5 freelance platform proposals,"June 24, 2026",5 proposals submitted,You (Founder),Phase 0 - Setup,P0 - Critical,"June 24, 2026",🔴 Pending
"Build outreach script library (DM, email, proposal)","June 24, 2026",3 templates finalized,You (Founder),Phase 0 - Setup,P0 - Critical,"June 23, 2026",🔴 Pending
Onboard intern batch 1 (5 interns),"June 28, 2026",5 interns active with assigned targets,You (Founder),Phase 1 - Team Ramp,P0 - Critical,"June 28, 2026",🔴 Pending
Build case study #1 from first client,"August 15, 2026",Case study published,You (Founder),Phase 2 - Scaling,P1 - High,"August 10, 2026",🔴 Pending
Month 2 (August) financial review,"August 31, 2026",Cumulative ≥ ₹5.8L,You (Founder),Phase 2 - Scaling,P0 - Critical,"August 31, 2026",🔴 Pending
"Maintain 15 active interns, backfill churn","November 30, 2026",Active interns stay ≥15 all month,You (Founder),Phase 5 - Final Stretch,P0 - Critical,"November 1, 2026",🔴 Pending
Weekly tracker update (Planned vs Actual),"December 31, 2026",Filled every Sunday,You (Founder),Recurring,P0 - Critical,"June 27, 2026",🔴 Pending
A/B test outreach scripts (2 variants),"July 25, 2026",Winning variant identified,You + Team,Phase 1 - Team Ramp,P2 - Nice to have,"July 15, 2026",🔴 Pending
Month 4 (October) financial review,"October 31, 2026",Cumulative ≥ ₹23.8L,You (Founder),Phase 4 - Growth,P0 - Critical,"October 31, 2026",🔴 Pending
Renegotiate outsourcing rates at volume,"October 10, 2026",Revised rate agreement signed,You (Founder),Phase 4 - Growth,P2 - Nice to have,"October 5, 2026",🔴 Pending
Recruit intern batch 4 (target 12-15 total),"September 12, 2026",12-15 active interns,You (Founder),Phase 3 - Peak Build,P0 - Critical,"September 1, 2026",🔴 Pending
Create PeoplePerHour profile,"June 23, 2026","Live, complete profile",You (Founder),Phase 0 - Setup,P1 - High,"June 22, 2026",🔴 Pending
Daily standup / outreach log,"December 31, 2026",Logged every working day,You (Founder),Recurring,P0 - Critical,"June 22, 2026",🔴 Pending
⭐ ₹50 Lakh Cumulative Net Profit Milestone,"December 26, 2026","Cumulative Net Profit ≥ ₹50,00,000",You (Founder),Phase 6 - Close-Out,P0 - Critical,"December 20, 2026",🔴 Pending
Recruit intern batch 2 (target 8-10 total),"July 10, 2026",8-10 active interns,You (Founder),Phase 1 - Team Ramp,P0 - Critical,"July 5, 2026",🔴 Pending
Backup outsourcing partner check-in,"December 31, 2026",Monthly check-in completed,You (Founder),Recurring,P2 - Nice to have,"July 1, 2026",🔴 Pending
Onboard first client with outsourcing partner,"July 6, 2026",Delivery kickoff confirmed,You (Founder),Phase 1 - Team Ramp,P0 - Critical,"July 5, 2026",🔴 Pending
Recruit intern batch 3 (target 10-12 total),"August 8, 2026",10-12 active interns,You (Founder),Phase 2 - Scaling,P0 - Critical,"August 2, 2026",🔴 Pending
Create Truelancer profile,"June 23, 2026","Live, complete profile",You (Founder),Phase 0 - Setup,P0 - Critical,"June 22, 2026",🔴 Pending
Introduce premium bundled package (full back-office),"September 10, 2026",Premium package live,You (Founder),Phase 3 - Peak Build,P2 - Nice to have,"September 5, 2026",🔴 Pending
Final intern push & retention bonus announcement,"December 3, 2026",Bonus structure announced to team,You (Founder),Phase 6 - Close-Out,P1 - High,"December 1, 2026",🔴 Pending
Set up http://Cal.com appointment scheduling,"June 24, 2026",Booking link live,You (Founder),Phase 0 - Setup,P1 - High,"June 23, 2026",🔴 Pending
Collect first client testimonial,"July 20, 2026",1 written or video testimonial,You (Founder),Phase 1 - Team Ramp,P1 - High,"July 15, 2026",🔴 Pending
Re-forecast: confirm December crossing date for ₹50L,"November 30, 2026",Updated forecast documented,You (Founder),Phase 5 - Final Stretch,P0 - Critical,"November 30, 2026",🔴 Pending
Conduct first intern training session (recorded),"June 27, 2026",5 interns trained & onboarded,You (Founder),Phase 0 - Setup,P0 - Critical,"June 26, 2026",🔴 Pending
Post recruitment ad on Internshala,"June 23, 2026",Live listing,You (Founder),Phase 0 - Setup,P0 - Critical,"June 22, 2026",🔴 Pending
Close remaining pipeline deals,"December 20, 2026",Pipeline cleared,You + Team,Phase 6 - Close-Out,P0 - Critical,"December 1, 2026",🔴 Pending
Launch referral program,"July 15, 2026",Program doc shared with clients & interns,You (Founder),Phase 1 - Team Ramp,P1 - High,"July 10, 2026",🔴 Pending
Shortlist 2 backup outsourcing partners,"June 24, 2026",2 backup partners identified & contacted,You (Founder),Phase 0 - Setup,P1 - High,"June 21, 2026",🔴 Pending
Evaluate outsourcing partner performance / SLA,"August 20, 2026",Review doc completed,You (Founder),Phase 2 - Scaling,P1 - High,"August 15, 2026",🔴 Pending
Reach 15 closed clients (cumulative),"August 29, 2026",15 total clients signed,You + Team,Phase 2 - Scaling,P0 - Critical,"August 25, 2026",🔴 Pending
Send first 20 LinkedIn connection requests,"June 23, 2026",20 requests sent,You (Founder),Phase 0 - Setup,P0 - Critical,"June 23, 2026",🔴 Pending
Create Guru profile,"June 23, 2026","Live, complete profile",You (Founder),Phase 0 - Setup,P1 - High,"June 22, 2026",🔴 Pending
Set up Google Sheets / Bitrix24 lead tracker,"June 22, 2026",Tracker live with all required columns,You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
Reach 48 closed clients (cumulative),"October 31, 2026",48 total clients signed,You + Team,Phase 4 - Growth,P0 - Critical,"October 25, 2026",🔴 Pending
Week 1 review & retro,"June 27, 2026",Weekly Tracker entry completed,You (Founder),Phase 0 - Setup,P0 - Critical,"June 27, 2026",🔴 Pending
Mid-point business review vs ₹50L target,"September 30, 2026",Cumulative ≥ ₹12.9L; track decision documented,You (Founder),Phase 3 - Peak Build,P0 - Critical,"September 30, 2026",🔴 Pending
Write intern recruitment post,"June 22, 2026","Post drafted: commission-only, remote, ₹6,600+/deal",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
Run daily intern standup (15 min),"November 30, 2026","100% attendance, logged daily",You + Team,Recurring,P0 - Critical,"June 29, 2026",🔴 Pending
Finalize Indian outsourcing partner (sign MOU),"June 22, 2026",Signed MOU with 1 primary delivery partner,You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
Recruit intern batch 5 (target 15 total),"October 17, 2026",15 active interns,You (Founder),Phase 4 - Growth,P0 - Critical,"October 4, 2026",🔴 Pending
Optimize LinkedIn profile / company page,"June 23, 2026","Headline, banner, services section complete",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
Set up Clockify time tracking,"June 24, 2026",Workspace created,You (Founder),Phase 0 - Setup,P2 - Nice to have,"June 23, 2026",🔴 Pending
Create http://Freelancer.com profile,"June 23, 2026","Live, complete profile",You (Founder),Phase 0 - Setup,P0 - Critical,"June 22, 2026",🔴 Pending
Create Fiverr profile,"June 22, 2026","Live, complete profile",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
Reach 5 closed clients (cumulative),"July 25, 2026",5 total clients signed since Jun 21,You + Team,Phase 1 - Team Ramp,P0 - Critical,"July 21, 2026",🔴 Pending
Build case study #2 and #3,"September 20, 2026",2 more case studies published,You (Founder),Phase 3 - Peak Build,P1 - High,"September 10, 2026",🔴 Pending
Post recruitment ad in WhatsApp / Facebook groups,"June 23, 2026",Posted in 5+ groups,You (Founder),Phase 0 - Setup,P1 - High,"June 22, 2026",🔴 Pending
Create Upwork profile,"June 22, 2026","Live, complete profile",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
Assign daily targets to each intern (70 actions/day),"June 29, 2026",Targets communicated & tracked per intern,You (Founder),Phase 1 - Team Ramp,P0 - Critical,"June 28, 2026",🔴 Pending
Monthly financial review,"December 31, 2026",Filled last day of every month,You (Founder),Recurring,P0 - Critical,"July 31, 2026",🔴 Pending
Close first paying client,"July 4, 2026",1 signed contract,You + Team,Phase 1 - Team Ramp,P0 - Critical,"June 28, 2026",🔴 Pending
Month 5 (November) financial review,"November 30, 2026",Cumulative ≥ ₹37.8L,You (Founder),Phase 5 - Final Stretch,P0 - Critical,"November 30, 2026",🔴 Pending
Weekly leaderboard update (gamification),"November 30, 2026",Leaderboard posted every Friday,You (Founder),Recurring,P1 - High,"July 3, 2026",🔴 Pending
Optimize conversion funnel from July data,"August 10, 2026",Funnel report + 1 process change made,You (Founder),Phase 2 - Scaling,P0 - Critical,"August 5, 2026",🔴 Pending
Start daily solo outreach (target 25-30 actions/day),"June 27, 2026",150+ cumulative actions by Jun 27,You (Founder),Phase 0 - Setup,P0 - Critical,"June 22, 2026",🔴 Pending
Push referral channel hard (64% conversion),"November 30, 2026",25+ referral asks/week across team,You + Team,Phase 5 - Final Stretch,P0 - Critical,"November 1, 2026",🔴 Pending
Post recruitment ad on LinkedIn,"June 23, 2026","Live post, 500+ views target",You (Founder),Phase 0 - Setup,P0 - Critical,"June 22, 2026",🔴 Pending
Reach 68 closed clients (cumulative),"November 28, 2026",68 total clients signed,You + Team,Phase 5 - Final Stretch,P0 - Critical,"November 24, 2026",🔴 Pending
Create Bark profile,"June 23, 2026","Live, complete profile",You (Founder),Phase 0 - Setup,P1 - High,"June 22, 2026",🔴 Pending
Set up MS Teams workspace,"June 24, 2026",Workspace + channels created,You (Founder),Phase 0 - Setup,P2 - Nice to have,"June 23, 2026",🔴 Pending
Pay all final commissions,"December 31, 2026",All intern commissions settled,You (Founder),Phase 6 - Close-Out,P0 - Critical,"December 28, 2026",🔴 Pending
Plan 2027 scale-up,"December 31, 2026",2027 roadmap drafted,You (Founder),Phase 6 - Close-Out,P1 - High,"December 28, 2026",🔴 Pending
Month 3 (September) financial review,"September 30, 2026",Monthly Tracker filled,You (Founder),Phase 3 - Peak Build,P0 - Critical,"September 30, 2026",🔴 Pending
Create agency profile on Upwork,"June 23, 2026","Profile 100% complete, first proposal sent",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🟡 In Progress
Renegotiate outsourcing rate (volume discount at 15+ clients active),"August 31, 2026","Rate reduced from ₹22,000 to ≤₹19,000 per client",You (Founder),Phase 2 - Scaling,P1 - High,"August 15, 2026",🔴 Pending
Transition top interns to full-time employees (Dec 1),"December 7, 2026",5 full-time contracts signed; onboarding complete,You (Founder),Phase 6 - Close-Out,P1 - High,"December 1, 2026",🔴 Pending
Confirm all intern commissions are calculated and ready to pay,"November 30, 2026",Commission sheet finalized; payments scheduled for Dec 1,You (Founder),Phase 5 - Final Stretch,P1 - High,"November 25, 2026",🔴 Pending
"Record 2-hour intern training video (outreach process, scripts, CRM usage)","June 25, 2026","Video recorded, uploaded to Drive, link sent to all interns",You (Founder),Phase 0 - Setup,P0 - Critical,"June 23, 2026",🔴 Pending
Scale to 12 active interns,"September 7, 2026",12 interns active; 2 team leads fully delegated,You (Founder),Phase 3 - Peak Build,P0 - Critical,"September 1, 2026",🔴 Pending
Bundle upsell: pitch 2-service bundle to all existing single-service clients,"August 31, 2026","≥3 existing clients upgraded; avg revenue per client increases to ₹65,000+",You (Founder),Phase 2 - Scaling,P1 - High,"August 1, 2026",🔴 Pending
"Onboard Batch 2 interns (5 more, total 8–10)","July 12, 2026","8 interns active, all on CRM and Clockify",You (Founder),Phase 1 - Team Ramp,P0 - Critical,"July 8, 2026",🔴 Pending
Scale to 15 active interns,"October 7, 2026",15 interns active; 3 team leads; daily reporting fully delegated,You (Founder),Phase 4 - Growth,P0 - Critical,"October 1, 2026",🔴 Pending
Close 15 new clients in September,"September 30, 2026",15 signed contracts; cumulative clients = 31+,You + Team,Phase 3 - Peak Build,P0 - Critical,"September 1, 2026",🔴 Pending
Week 2: Interns hit 70 actions/day each (350 total/week per intern),"July 4, 2026","1,750 total actions logged (5 interns × 350) in Week 2",Intern Team,Phase 1 - Team Ramp,P0 - Critical,"June 28, 2026",🔴 Pending
Identify & shortlist 2 backup outsourcing partners,"June 25, 2026",2 backup partners identified & contact established,You (Founder),Phase 0 - Setup,P1 - High,"June 21, 2026",🔴 Pending
"Create intern onboarding doc (tools setup, daily reporting format, commission structure)","June 24, 2026",Google Doc live with all sections; shared with applicants,You (Founder),Phase 0 - Setup,P1 - High,"June 22, 2026",🔴 Pending
Close 18 new clients in October,"October 31, 2026",18 signed contracts; cumulative clients = 49+; on track for ₹50L,You + Team,Phase 4 - Growth,P0 - Critical,"October 1, 2026",🔴 Pending
Do solo outreach: 50 LinkedIn DMs + 30 freelance proposals + 20 buyer responses,"June 27, 2026","100 total actions, ≥5 leads, ≥1 appointment booked by Jun 27",You (Founder),Phase 0 - Setup,P1 - High,"June 21, 2026",🔴 Pending
Close 20 new clients in November,"November 30, 2026",20 signed contracts; cumulative clients = 69+; ₹50L within reach,You + Team,Phase 5 - Final Stretch,P0 - Critical,"November 1, 2026",🔴 Pending
Review & fire bottom 20% of interns; replace with better applicants,"September 10, 2026",Team quality improves; avg actions/intern rises by 10%,You (Founder),Phase 3 - Peak Build,P1 - High,"September 1, 2026",🔴 Pending
Set up http://Cal.com for client appointment scheduling,"June 22, 2026",Booking link live and tested,You (Founder),Phase 0 - Setup,P1 - High,"June 21, 2026",🔴 Pending
"Draft 2027 business plan (team structure, targets, new services)","December 31, 2026",2027 plan page created in Notion with 12-month targets,You (Founder),Phase 6 - Close-Out,P1 - High,"December 15, 2026",🔴 Pending
Renegotiate outsourcing rate again (volume discount at 40+ active clients),"October 15, 2026","Rate reduced to ≤₹18,000/client; additional ₹4,000/client/month profit",You (Founder),Phase 4 - Growth,P1 - High,"October 1, 2026",🔴 Pending
"Write outreach scripts: LinkedIn DM, cold email, freelance proposal, buyer request response","June 23, 2026","4 scripts ready, saved in shared Google Doc for interns",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
WEEKLY (Sunday): Update Weekly Performance Tracker (Planned vs Actual),"December 27, 2026",Every Sunday: all actual columns filled by 9 PM; variance flagged if >15%,You (Founder),Recurring,P0 - Critical,"June 21, 2026",🔴 Pending
Close FIRST client (solo-sourced),"June 30, 2026","1 client signed, invoice raised, delivery brief sent to outsourcing partner",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
"A/B test 2 LinkedIn message variants, 2 email variants","July 15, 2026",Clear winner variant identified; rolled out to all interns by Jul 16,You (Founder),Phase 1 - Team Ramp,P1 - High,"July 1, 2026",🔴 Pending
Set up Bitrix24 CRM (or Google Sheets CRM) with intern pipeline columns,"June 23, 2026","CRM live: columns for Intern, Company, Contact, Channel, Status, Date",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
Publish 2 more case studies (months 2 & 3 results),"September 20, 2026",3 total case studies live; referenced in every new proposal,You (Founder),Phase 3 - Peak Build,P1 - High,"September 1, 2026",🔴 Pending
"Post intern recruitment on Internshala, LinkedIn, college WhatsApp groups, Facebook groups","June 22, 2026",Posted on 5+ platforms; 20+ applications received by Jun 24,You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
DAILY: Log all outreach actions in CRM (interns + self),"December 31, 2026",Zero unlogged days; CRM updated by 6 PM daily,You + Team,Recurring,P0 - Critical,"June 21, 2026",🔴 Pending
Onboard & live-train first 5 interns (Day 1 session),"June 28, 2026","All 5 interns live on CRM, Clockify, and have submitted first report",You (Founder),Phase 1 - Team Ramp,P0 - Critical,"June 27, 2026",🔴 Pending
Scale to 10 active interns,"August 10, 2026","10 interns active, all submitting daily reports",You (Founder),Phase 2 - Scaling,P0 - Critical,"August 1, 2026",🔴 Pending
Identify probation-passing interns for full-time conversion offer,"October 31, 2026",Top 5 interns offered full-time roles starting Dec 1 (with fixed + commission package),You (Founder),Phase 4 - Growth,P1 - High,"October 1, 2026",🔴 Pending
Collect 5+ client testimonials and 2 video case studies for 2027 marketing,"November 20, 2026",5 written + 2 video testimonials collected and published,You (Founder),Phase 5 - Final Stretch,P1 - High,"November 1, 2026",🔴 Pending
Push referral channel hard: every active client asked for 2 referrals this month,"September 30, 2026",≥5 referral leads in pipeline; ≥2 converted to clients,You (Founder),Phase 3 - Peak Build,P1 - High,"September 1, 2026",🔴 Pending
Close 20 new clients in December to cross ₹50L,"December 26, 2026","Cumulative net profit crosses ₹50,00,000 — target hit",You + Team,Phase 6 - Close-Out,P0 - Critical,"December 1, 2026",🔴 Pending
Screen & select first 5 interns (30-min interview each),"June 26, 2026","5 interns selected, onboarding doc sent, first day confirmed",You (Founder),Phase 0 - Setup,P0 - Critical,"June 23, 2026",🔴 Pending
Post recruitment for Batch 2 interns (6–10 total),"July 5, 2026",25+ applications received; screening starts Jul 6,You (Founder),Phase 1 - Team Ramp,P1 - High,"July 1, 2026",🔴 Pending
Optimize LinkedIn profile for agency founder positioning,"June 22, 2026","Headline, About, Featured section updated; banner image added",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
Close 10 new clients in August,"August 31, 2026",10 signed contracts; cumulative clients = 16+,You + Team,Phase 2 - Scaling,P0 - Critical,"August 1, 2026",🔴 Pending
Sign MOU with primary Indian outsourcing partner,"June 22, 2026",MOU signed by June 22 — no delivery without this,You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🟡 In Progress
Set up Clockify for intern time & action tracking,"June 24, 2026","Workspace created, task types defined, test entry submitted",You (Founder),Phase 0 - Setup,P1 - High,"June 22, 2026",🔴 Pending
Launch referral program: ask every closed client for 2 referrals,"July 31, 2026",≥2 referral conversations initiated per signed client,You (Founder),Phase 1 - Team Ramp,P1 - High,"July 15, 2026",🔴 Pending
Final P&L reconciliation and profit declaration,"December 31, 2026",Final P&L sheet locked; ₹50L+ confirmed,You (Founder),Phase 6 - Close-Out,P0 - Critical,"December 27, 2026",🔴 Pending
Close 5 new clients in July (intern-sourced),"July 31, 2026","5 signed contracts, 5 invoices raised, 5 delivery briefs sent",You + Team,Phase 1 - Team Ramp,P0 - Critical,"July 1, 2026",🔴 Pending
Identify top 2 performing interns; give leadership role (team lead),"August 20, 2026",2 team leads assigned; each managing 4–5 interns' daily check-ins,You (Founder),Phase 2 - Scaling,P1 - High,"August 10, 2026",🔴 Pending
Collect first client testimonial (written or video),"July 31, 2026",1 testimonial live on LinkedIn and freelance profiles,You (Founder),Phase 1 - Team Ramp,P1 - High,"July 15, 2026",🔴 Pending
Build 2027 service expansion shortlist (new services to offer),"October 31, 2026",3 new service ideas documented with pricing & outsourcing options,You (Founder),Phase 4 - Growth,P2 - Nice to have,"October 15, 2026",🔴 Pending
"Set daily intern KPI check (5 min each, async via WhatsApp/Teams)","July 5, 2026",Daily report format running; all interns submitting by end of W2,You (Founder),Phase 1 - Team Ramp,P1 - High,"June 28, 2026",🔴 Pending
MONTHLY (last day): Update Monthly Financial Tracker (Planned vs Actual P&L),"December 31, 2026","Every month-end: revenue, costs, net profit, cumulative all filled",You (Founder),Recurring,P0 - Critical,"June 30, 2026",🔴 Pending
"Write intern recruitment post (commission-only, ₹6,600+ per deal)","June 21, 2026","Post written, reviewed, ready to publish",You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
Push referral channel maximum in November — 64% conversion rate is the key lever,"November 30, 2026",≥10 referral leads generated; ≥6 converted,You + Team,Phase 5 - Final Stretch,P0 - Critical,"November 1, 2026",🔴 Pending
"Create profiles on Fiverr, Truelancer, Freelancer, Guru, PeoplePerHour, Bark","June 24, 2026",All 6 profiles live with portfolio & service listings,You (Founder),Phase 0 - Setup,P0 - Critical,"June 21, 2026",🔴 Pending
"DAILY: Review intern reports and give feedback (async, 15 min)","December 31, 2026",Every intern gets ≥1 feedback note per day,You (Founder),Recurring,P1 - High,"June 28, 2026",🔴 Pending
MONTHLY: Client health check — proactive call/message to each active client,"December 31, 2026",100% of active clients contacted; churn rate ≤10%/month,You (Founder),Recurring,P0 - Critical,"July 1, 2026",🔴 Pending
"WEEKLY: Intern leaderboard published (top actions, top leads, top closures)","December 27, 2026",Leaderboard sent to team WhatsApp every Monday morning,You (Founder),Recurring,P1 - High,"June 28, 2026",🔴 Pending
Publish first case study (Client A — results after 30 days),"August 15, 2026",Case study published on LinkedIn; used in proposals by Aug 16,You (Founder),Phase 2 - Scaling,P1 - High,"August 1, 2026",🔴 Pending
MONTHLY: Fire/replace bottom 10-20% interns; recruit fresh batch,"November 30, 2026",Team quality maintained; no intern below 50% of target actions for >2 weeks,You (Founder),Recurring,P1 - High,"July 31, 2026",🔴 Pending
