Task,Module,Owner,Phase,Phase Name,Priority,Source Page,Status,Target Date,Task ID,Wave
P18.6.1 — Build Certification Tracker on Student Progress Dashboard (NA-SM-02),,Ops Team,18,Industry Certification Pathways,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd9814a8249ed65522c5291,🔴 Pending,,P18.6.1,Wave 1 (Sep 2026)
"P20.1.1 — Build the Nivy Module Catalog (all 21 standalone modules, tiers, durations, prerequisites)",,Abhishek + Ops,20,Modular Course Architecture,P0 - Quick Win,https://app.notion.com/p/38069eaa2dd9818da7c9e379f5ffd928,🔴 Pending,,P20.1.1,Wave 1 (Jul 2026)
"P11.1.2 — Lesson Plan Templates (objectives → theory → demo → assignment) — bring forward, needed before Phase 1 content sprints start",,Abhishek,11,"Faculty, Content Quality & Operations",P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,,P11.1.2,Bring forward to Wave 1 (Jul 2026)
P22.2.1 — Build the Student Scorecard database (extends NA-SM-02),,Tech Team,22,Scorecard & Performance Measurement,P0 - Quick Win,https://app.notion.com/p/38069eaa2dd9818da7c9e379f5ffd928,🔴 Pending,,P22.2.1,Wave 1 (Sep 2026)
P18.1.1 — GA4 Certification study plan mapped to existing P1.6.1 content,,Academic Head,18,Industry Certification Pathways,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd9814a8249ed65522c5291,🔴 Pending,,P18.1.1,"Wave 1 (Jul 2026) — no build dependency, can start now"
P18.5.2 — NASSCOM FutureSkills AI Foundation registration walkthrough (free for Indian students),,Academic Head,18,Industry Certification Pathways,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd9814a8249ed65522c5291,🔴 Pending,,P18.5.2,"Wave 1 (Jul 2026) — no build dependency, can start now"
P20.3.1 — Build à la carte pricing for each standalone module (5-tier model),,Abhishek + Design Team,20,Modular Course Architecture,P0 - Quick Win,https://app.notion.com/p/38069eaa2dd9818da7c9e379f5ffd928,🔴 Pending,,P20.3.1,Wave 1 (Aug 2026)
"P14.1.1 — Module: India's DPDP Act 2023 (consent, data rights, penalties, impact on email/WhatsApp marketing) — legal risk, bring forward",,Legal Advisor,14,"Legal, Compliance & Ethics",P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,,P14.1.1,Bring forward to Wave 1 (Aug 2026)
"P11.1.1 — Faculty Onboarding Handbook (teaching style, slide design, demo quality) — bring forward, needed for Phase 21/23 rollout",,Abhishek,11,"Faculty, Content Quality & Operations",P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,,P11.1.1,Bring forward to Wave 1 (Jul 2026)
"P19.1.1 — Module: What is AI, Really? (AI vs ML vs Deep Learning vs Gen AI — precedes ISP-03 Week 11)",,AI Faculty Lead,19,AI Curriculum Benchmark Alignment,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd9814a8249ed65522c5291,🔴 Pending,,P19.1.1,Wave 1 (Aug 2026)
P20.4.1 — Build module prerequisite map (which modules need which),,Academic Head,20,Modular Course Architecture,P0 - Quick Win,https://app.notion.com/p/38069eaa2dd9818da7c9e379f5ffd928,🔴 Pending,,P20.4.1,Wave 1 (Aug 2026)
"P1.6.1 — Add GA4 Advanced module (custom dimensions, funnels, predictive metrics) — feeds GA4 cert track (P18.1)",,Email + Analytics Faculty,1,Depth Enhancement — Existing Courses,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,,P1.6.1,Wave 1 (Aug 2026)
P5.1.1 — Update Student Programs comparison table to include AI/Design/VA/Web/App modules as add-ons,,Abhishek + Ops,5,"Restructuring, Branding & LMS",P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,,P5.1.1,Bring forward to Wave 1 (alongside Phase 20 catalog)
P18.5.1 — Google AI Essentials Certificate as required ISP-03 Week 11 deliverable,,Academic Head,18,Industry Certification Pathways,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd9814a8249ed65522c5291,🔴 Pending,,P18.5.1,"Wave 1 (Jul 2026) — no build dependency, can start now"
"P21.2.1 — Define the Module Practical Exam template (20-30 MCQ + capstone, /100)",,Academic Head,21,Granular Assessment Architecture,P0 - Quick Win,https://app.notion.com/p/38069eaa2dd9818da7c9e379f5ffd928,🔴 Pending,,P21.2.1,Wave 1 (Jul 2026) — used by every faculty team going forward
"P18.1.3 — GA4 Certification as a graduation requirement, logged on Student Progress Dashboard",,Academic Head,18,Industry Certification Pathways,P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd9814a8249ed65522c5291,🔴 Pending,,P18.1.3,Wave 1 (Sep 2026)
"P23.1.1 — Grading workload analysis (mentor:student ratio, turnaround SLA)",,Academic Head + Tech Team,23,Grading Operations & Mentor Capacity,P0 - Quick Win,https://app.notion.com/p/38069eaa2dd9818da7c9e379f5ffd928,🔴 Pending,,P23.1.1,Wave 1 (Aug 2026)
P21.1.1 — Define the Sub-Topic Checkpoint template (mini-quiz + hands-on task + SOP check + accuracy score),,Academic Head,21,Granular Assessment Architecture,P0 - Quick Win,https://app.notion.com/p/38069eaa2dd9818da7c9e379f5ffd928,🔴 Pending,,P21.1.1,Wave 1 (Jul 2026) — used by every faculty team going forward
P22.1.2 — Define the scorecard roll-up weighting formula (checkpoints/practicals/exams → overall %),,Tech Team,22,Scorecard & Performance Measurement,P0 - Quick Win,https://app.notion.com/p/38069eaa2dd9818da7c9e379f5ffd928,🔴 Pending,,P22.1.2,Wave 1 (Sep 2026)
"P12.1 — LMS Platform Review vs Teachable/Thinkific/LearnWorlds — bring forward, blocks Phase 20 modular enrolment + Phase 22 scorecard build",,Tech Team,12,"Technology, Platform & Product Upgrades",P0 - Quick Win,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,,P12.1,Bring forward to Wave 1 (Jul 2026) — prerequisite for P20.5 and P22.2
"P1.2.8 — Add Social Commerce module (Instagram Shopping, Pinterest Shopping, Facebook Shops, TikTok Shop)",P1.2 SMM,SMM Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 17, 2026",P1.2.8,Wave 1
"P1.3.4 — Add Advanced Google Shopping module (feed optimisation, supplemental feeds, Merchant Center, price benchmarking)",P1.3 PPC,PPC Faculty,1,Depth Enhancement — Existing Courses,Medium,https://app.notion.com/p/37f69eaa2dd980a299bec10b7737ff4d,🔴 Pending,"July 24, 2026",P1.3.4,Wave 1
