Package Name,Category,Cross-Sell With,Delivery Team,Last Updated,Level,Notes,Package ID,Price (India),Price (USA),Problem Solved,Service Type,Status,Target Client,Upsell To,Who Can Sell
Content Creation Growth — Full Production System,Content & Social,"SMM Growth, Performance Marketing Growth",Junior VA,"May 17, 2026 8:48 AM",🔵 L2 — Growth,16 reels + 20 creatives + short-form batching + scripting + monthly content calendar,1,"₹20,000.00",$749.00,"No consistent content output, no scripting system, no batch workflow",Monthly Retainer,✅ Active,"Growing personal brands, agencies, ecommerce",SMM System — Brand Content Engine,"Junior VA, Senior VA"
SMM Starter — Instagram + Facebook Management,Content & Social,Content Creation — Reels Starter,Fresher VA,"May 17, 2026 8:48 AM",🟢 L1 — Starter,SOP Priority: VERY HIGH. Build first.,2,"₹8,000.00",$299.00,"No consistent social media presence, losing visibility to competitors",Monthly Retainer,✅ Active,"Local businesses, coaches, startups",SMM Growth — Full Platform Management,"Fresher VA, Junior VA"
CPA Starter — Compliance Package,CPA & Accounting,"SMM Starter, Lead Generation Starter",Junior VA,"May 17, 2026 8:48 AM",🟢 L1 — Starter,GST filing + ITR filing + TDS. Mandatory recurring compliance. Entry point for CPA retention.,3,"₹5,000.00",$199.00,"Missing GST/ITR deadlines, risk of penalties, no compliance tracking",Monthly Retainer,✅ Active,"Freelancers, small businesses, solo founders",CPA Growth — Compliance + Accounting,"Junior VA, Senior VA"
SMM Growth — Full Platform Management,Content & Social,"Performance Marketing — Ads Starter, Content Creation — Reels Growth",Junior VA,"May 17, 2026 8:48 AM",🔵 L2 — Growth,"Includes monthly calendar, engagement, analytics report",4,"₹18,000.00",$699.00,"Inconsistent posting, low engagement, no content strategy or analytics tracking",Monthly Retainer,✅ Active,"Growing businesses, personal brands, agencies",SMM System — Brand Content Engine,"Junior VA, Senior VA"
Performance Marketing Starter — Ads Setup & Launch,Paid Ads,SMM Starter — Instagram + Facebook Management,Junior VA,"May 17, 2026 8:48 AM",🟢 L1 — Starter,"SOP Priority: HIGH. Entry-level ad setup only, no ongoing optimisation.",5,"₹12,000.00",$499.00,"No paid traffic, relying only on organic, no ROI from social media",One-Time Setup,✅ Active,"Local businesses, service providers, ecommerce startups",Performance Marketing Growth — Ads Management,"Junior VA, Senior VA"
CPA CFO Package — Advisory & Strategy,CPA & Accounting,"Performance Marketing System — Full Funnel, Lead Generation Growth",Closer / Expert,"May 17, 2026 8:48 AM",🔴 L4 — AI & Enterprise,"Advisory layer: tax planning + cost optimisation + financial strategy + notices handling + govt representation. Highest trust, highest price.",6,"₹50,000.00","$1,999.00","No tax strategy, high tax liability, no CFO-level financial guidance",Premium / Custom,✅ Active,"Funded startups, high-revenue businesses, multi-entity founders",Custom Enterprise Retainer,Closer
Lead Generation Growth — Full Funnel System,Lead Generation,"Performance Marketing Growth, SMM Growth",Senior VA,"May 17, 2026 8:48 AM",🔵 L2 — Growth,Full funnel: landing page + email/WhatsApp automation + CRM integration + monthly lead report,7,"₹30,000.00","$1,199.00","High ad spend but no funnel to convert traffic, leads not being nurtured",Monthly Retainer,✅ Active,"Coaches, agencies, service providers with existing traffic",Performance Marketing System — Full Funnel,"Closer, Senior VA"
SMM System — Brand Content Engine,Content & Social,"Performance Marketing — Full Funnel System, SEO Growth",Senior VA,"May 17, 2026 8:48 AM",🟣 L3 — System,Full brand system: strategy + content + scheduling + reporting + monthly review,8,"₹40,000.00","$1,500.00","No brand consistency, no content system, no performance tracking across platforms",High-Ticket Retainer,✅ Active,"Established brands, funded startups, multi-location businesses",AI Content Automation System,"Closer, Senior VA"
Lead Generation Starter — Funnel + WhatsApp Flow,Lead Generation,"SMM Starter, Performance Marketing Starter",Junior VA,"May 17, 2026 8:48 AM",🟢 L1 — Starter,SOP Priority: HIGH. Landing page + lead form + WhatsApp/email automation flow.,9,"₹15,000.00",$599.00,"No system to capture and follow up with leads, losing interested prospects",One-Time Setup,✅ Active,"Coaches, agencies, service providers",Lead Generation Growth — Full Funnel System,"Junior VA, Senior VA"
Performance Marketing Growth — Ads Management,Paid Ads,"Lead Generation — Funnel Starter, SMM Growth",Junior VA,"May 17, 2026 8:48 AM",🔵 L2 — Growth,Monthly management: Facebook/Instagram Ads + Google Ads + weekly reporting,10,"₹25,000.00",$999.00,"Running ads with no strategy, wasting budget, no conversion tracking",Monthly Retainer,✅ Active,"Ecommerce, service businesses, lead gen businesses",Performance Marketing System — Full Funnel,"Junior VA, Senior VA"
CPA Growth — Compliance + Accounting,CPA & Accounting,"Lead Generation Growth, SMM Growth",Junior VA,"May 17, 2026 8:48 AM",🔵 L2 — Growth,GST + ITR + TDS + bookkeeping + ledger + bank reconciliation + P&L + balance sheet monthly.,11,"₹12,000.00",$449.00,"No organised books, no monthly P&L, no financial clarity for decision-making",Monthly Retainer,✅ Active,"Growing SMBs, agencies, ecommerce businesses",CPA Scale — Full Financial System,"Junior VA, Senior VA"
