Platform Name,Category,Last Updated,Listing ID,Market,Notes,Priority,Profile URL,Review Count,Review Target,Status
DesignRush,🌐 Global Agency,,1,"Global, 🇺🇸 USA",,🟠 High,,0,5,⬜ Not Listed
Capterra,⭐ Reviews,,2,"Global, 🇺🇸 USA",,🟡 Medium,,0,5,⬜ Not Listed
Behance,📁 Portfolio,,3,Global,Creative/design work portfolio,🟡 Medium,,0,0,⬜ Not Listed
IndiaMART,🇮🇳 India B2B,,4,🇮🇳 India,Huge inbound lead source for India market,🔴 Critical,,0,20,⬜ Not Listed
Yellow Pages India,🇮🇳 India Local,,5,🇮🇳 India,SEO signal,🟡 Medium,,0,0,⬜ Not Listed
Google Business Profile,🌐 Global Agency,,6,"Global, 🇮🇳 India",#1 priority — most impactful for local and global SEO,🔴 Critical,,0,50,⬜ Not Listed
Trustpilot,⭐ Reviews,,7,Global,,🟠 High,,0,15,⬜ Not Listed
G2,⭐ Reviews,,8,"Global, 🇺🇸 USA",,🟡 Medium,,0,5,⬜ Not Listed
TradeIndia,🇮🇳 India B2B,,9,🇮🇳 India,,🟡 Medium,,0,5,⬜ Not Listed
SortList,🌐 Global Agency,,10,🇬🇧 UK,Europe market focus,🟡 Medium,,0,3,⬜ Not Listed
NASSCOM,🌐 Global Agency,,11,🇮🇳 India,Phase 6+ — India tech credibility,🟢 Low,,0,0,⬜ Not Listed
LinkedIn Company Page,🌐 Global Agency,,12,Global,,🔴 Critical,,0,0,⬜ Not Listed
GoodFirms,🌐 Global Agency,,13,Global,,🟠 High,,0,5,⬜ Not Listed
http://Clutch.co,🌐 Global Agency,,14,"Global, 🇬🇧 UK, 🇺🇸 USA",Best for international B2B agency leads,🔴 Critical,,0,10,⬜ Not Listed
Agency Spotter,🌐 Global Agency,,15,🇺🇸 USA,,🟡 Medium,,0,3,⬜ Not Listed
AngelList / Wellfound,💡 Startup,,16,"Global, 🇺🇸 USA",,🟡 Medium,,0,0,⬜ Not Listed
IAMAI,🌐 Global Agency,,17,🇮🇳 India,India Digital industry body,🟢 Low,,0,0,⬜ Not Listed
Upwork,💼 Freelance,,18,"Global, 🇬🇧 UK, 🇺🇸 USA",Direct inbound leads — clients actively hiring VAs,🔴 Critical,,0,20,⬜ Not Listed
Crunchbase,💡 Startup,,19,Global,,🟡 Medium,,0,0,⬜ Not Listed
Sulekha,🇮🇳 India Local,,20,🇮🇳 India,,🟠 High,,0,5,⬜ Not Listed
http://Bark.com,🤝 B2B Marketplace,,21,"🇦🇺 Australia, 🇬🇧 UK, 🇺🇸 USA",,🟠 High,,0,10,⬜ Not Listed
Fiverr Business,💼 Freelance,,22,Global,,🟠 High,,0,10,⬜ Not Listed
The Manifest,🌐 Global Agency,,23,Global,,🟡 Medium,,0,3,⬜ Not Listed
PeoplePerHour,💼 Freelance,,24,🇬🇧 UK,UK & Europe market,🟠 High,,0,10,⬜ Not Listed
JustDial,🇮🇳 India Local,,25,🇮🇳 India,,🟠 High,,0,10,⬜ Not Listed
Product Hunt,💡 Startup,,26,Global,For tool/service launches,🟡 Medium,,0,0,⬜ Not Listed
